assay_chembl_id,compound_chembl_id,canonical_smiles,pchembl_value,standardized_smiles
CHEMBL4708126,CHEMBL4796746,CN1CCN(Cc2nn(-c3ccccc3Cl)c3c2CCS(=O)(=O)O3)CC1,5.65,CN1CCN(Cc2nn(-c3ccccc3Cl)c3c2CCS(=O)(=O)O3)CC1
CHEMBL4708126,CHEMBL4748616,COCCN(Cc1ccc(Br)cc1)Cc1nn(-c2ccccc2F)c2c1CCS(=O)(=O)O2,6.82,COCCN(Cc1ccc(Br)cc1)Cc1nn(-c2ccccc2F)c2c1CCS(=O)(=O)O2
CHEMBL4708126,CHEMBL4746233,O=S1(=O)CCc2c(CCl)nn(-c3ccccc3Cl)c2O1,6.7,O=S1(=O)CCc2c(CCl)nn(-c3ccccc3Cl)c2O1
CHEMBL4708126,CHEMBL4761517,O=S1(=O)CCc2c(CN(CCO)Cc3ccc(Cl)cc3Cl)nn(-c3ccccc3F)c2O1,7.05,O=S1(=O)CCc2c(CN(CCO)Cc3ccc(Cl)cc3Cl)nn(-c3ccccc3F)c2O1
CHEMBL4708126,CHEMBL4741324,O=S1(=O)CCc2c(-c3ccc(Br)cc3)nn(-c3ccccc3F)c2O1,6.33,O=S1(=O)CCc2c(-c3ccc(Br)cc3)nn(-c3ccccc3F)c2O1
CHEMBL4708126,CHEMBL4795386,O=S1(=O)CCc2c(CN3CCOCC3)nn(-c3ccccc3Cl)c2O1,6.39,O=S1(=O)CCc2c(CN3CCOCC3)nn(-c3ccccc3Cl)c2O1
CHEMBL4708126,CHEMBL4788705,O=S1(=O)CCc2c(-c3ccc(F)cc3)nn(-c3ccccc3Cl)c2O1,6.89,O=S1(=O)CCc2c(-c3ccc(F)cc3)nn(-c3ccccc3Cl)c2O1
CHEMBL4708126,CHEMBL4761581,CCN(Cc1ccc(Cl)cc1)Cc1nn(-c2ccccc2F)c2c1CCS(=O)(=O)O2,7.4,CCN(Cc1ccc(Cl)cc1)Cc1nn(-c2ccccc2F)c2c1CCS(=O)(=O)O2
CHEMBL4708126,CHEMBL502,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,4.98,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2
CHEMBL4708126,CHEMBL4783120,O=S1(=O)CCc2c(CN(CCO)Cc3cccc(Br)c3)nn(-c3ccccc3F)c2O1,6.48,O=S1(=O)CCc2c(CN(CCO)Cc3cccc(Br)c3)nn(-c3ccccc3F)c2O1
CHEMBL4708126,CHEMBL4787079,COc1ccc(CN(CCO)Cc2nn(-c3ccccc3F)c3c2CCS(=O)(=O)O3)cc1,6.58,COc1ccc(CN(CCO)Cc2nn(-c3ccccc3F)c3c2CCS(=O)(=O)O3)cc1
CHEMBL4708126,CHEMBL4781184,O=S1(=O)CCc2c(-c3ccc(F)cc3)nn(-c3ccccc3F)c2O1,6.8,O=S1(=O)CCc2c(-c3ccc(F)cc3)nn(-c3ccccc3F)c2O1
CHEMBL4708126,CHEMBL4762725,O=S1(=O)CCc2c(C3CC3)nn(-c3cccc(Cl)c3)c2O1,6.16,O=S1(=O)CCc2c(C3CC3)nn(-c3cccc(Cl)c3)c2O1
CHEMBL4708126,CHEMBL4784647,O=S1(=O)CCc2c(CN(CCO)Cc3ccc(Cl)cc3)nn(-c3ccccc3F)c2O1,7.05,O=S1(=O)CCc2c(CN(CCO)Cc3ccc(Cl)cc3)nn(-c3ccccc3F)c2O1
CHEMBL4708126,CHEMBL4741858,CCN(Cc1ccc(F)cc1)Cc1nn(-c2ccccc2F)c2c1CCS(=O)(=O)O2,7.16,CCN(Cc1ccc(F)cc1)Cc1nn(-c2ccccc2F)c2c1CCS(=O)(=O)O2
CHEMBL4708126,CHEMBL4778650,CCN(Cc1ccc(Br)cc1)Cc1nn(-c2ccccc2F)c2c1CCS(=O)(=O)O2,7.16,CCN(Cc1ccc(Br)cc1)Cc1nn(-c2ccccc2F)c2c1CCS(=O)(=O)O2
